type,fish,unit,2015-16,2016-2017,2018-2019,2019-2020,2020-2021,2022-2023
Finfish,Salmonids b, t ,56319,52800,61413,58355,67115,84341
Finfish,Tunas , t ,8895,8100,8000,8252,8345,7600
Finfish,Silver Perch, t ,382,339,343,195,184,149
Finfish,Barramundi, t ,3542,4114,5668,3365,3508,7815
Finfish,Other Finfish c, t ,2815,3082,3371,3807,4066,3928
Crustaceans,Prawns, t ,4628,4624,4205,4794,6740,8727
Crustaceans,Yabbies, t ,33,29,51,28,14,8
Crustaceans,Marron d, t ,56,55,66,63,57,59
Crustaceans,Redclaw, t ,51,65,49,45,62,33
Crustaceans,Other, t ,0,0,0,3,3,2
Molluscs,Oysters g, t ,11345,11932,8824,8849,9011,11234
Molluscs,Pearls, t ,0,0,0,0,0,0,,
Molluscs,Abalone, t ,757,873,1027,520,549,750
Molluscs,Blue Mussel, t ,3625,3811,3781,2711,2342,2425
Molluscs,Other, t ,0,0,0,1706,1573,1786
